"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","0.9982","0.9981","0.9994","0.9981","26.47M","0.01%"
"Apr 29, 2020","0.9990","0.9982","0.9995","0.9971","51.48M","0.09%"
"Apr 30, 2020","0.9994","0.9990","0.9999","0.9981","50.68M","0.03%"
"May 01, 2020","0.9992","0.9994","1.0000","0.9981","31.26M","-0.02%"
"May 02, 2020","0.9989","0.9992","0.9999","0.9982","31.69M","-0.03%"
"May 03, 2020","0.9990","0.9989","1.0000","0.9983","34.06M","0.01%"
"May 04, 2020","0.9985","0.9990","0.9996","0.9977","32.66M","-0.05%"
"May 05, 2020","0.9992","0.9985","1.0000","0.9979","29.46M","0.07%"
"May 06, 2020","0.9990","0.9992","0.9995","0.9975","35.32M","-0.02%"
"May 07, 2020","0.9984","0.9991","0.9996","0.9979","35.92M","-0.06%"
"May 08, 2020","0.9992","0.9984","0.9993","0.9979","43.56M","0.08%"
"May 09, 2020","1.0000","0.9992","1.0003","0.9987","36.81M","0.09%"
"May 10, 2020","0.9995","1.0000","1.0015","0.9983","52.60M","-0.06%"
"May 11, 2020","0.9992","0.9995","1.0010","0.9979","37.87M","-0.03%"
"May 12, 2020","0.9993","0.9992","1.0003","0.9989","23.33M","0.01%"
"May 13, 2020","0.9988","0.9993","0.9998","0.9984","35.39M","-0.05%"
"May 14, 2020","0.9996","0.9988","1.0001","0.9980","41.24M","0.08%"
"May 15, 2020","1.0009","0.9996","1.0015","0.9991","33.45M","0.13%"
"May 16, 2020","1.0003","1.0009","1.0010","0.9989","26.42M","-0.07%"
"May 17, 2020","1.0004","1.0002","1.0007","0.9986","27.64M","0.01%"
"May 18, 2020","1.0004","1.0005","1.0014","0.9996","33.14M","0.00%"
"May 19, 2020","0.9998","1.0004","1.0014","0.9998","20.09M","-0.07%"
"May 20, 2020","1.0005","0.9998","1.0019","0.9996","23.96M","0.07%"
"May 21, 2020","1.0009","1.0005","1.0022","1.0000","35.82M","0.04%"
"May 22, 2020","1.0002","1.0008","1.0018","0.9997","21.38M","-0.07%"
"May 23, 2020","0.9998","1.0002","1.0007","0.9992","10.09M","-0.03%"
"May 24, 2020","1.0004","0.9998","1.0013","0.9993","9.73M","0.06%"
"May 25, 2020","1.0001","1.0004","1.0011","0.9995","9.82M","-0.03%"
"May 26, 2020","1.0002","1.0001","1.0008","0.9998","9.67M","0.01%"
"May 27, 2020","1.0000","1.0002","1.0008","0.9995","15.96M","-0.02%"
"May 28, 2020","0.9998","1.0000","1.0007","0.9993","17.14M","-0.03%"
"May 29, 2020","0.9999","0.9998","1.0008","0.9996","13.01M","0.01%"
"May 30, 2020","0.9999","0.9999","1.0007","0.9993","20.44M","0.00%"
"May 31, 2020","1.0006","0.9999","1.0012","0.9994","13.03M","0.07%"
"Jun 01, 2020","0.9991","1.0006","1.0010","0.9948","20.02M","-0.15%"
"Jun 02, 2020","1.0000","0.9991","1.0023","0.9983","28.75M","0.09%"
"Jun 03, 2020","1.0000","1.0000","1.0006","0.9996","10.37M","0.00%"
"Jun 04, 2020","1.0000","1.0000","1.0007","0.9996","17.89M","0.01%"
"Jun 05, 2020","1.0007","1.0000","1.0008","0.9997","15.66M","0.06%"
"Jun 06, 2020","1.0000","1.0007","1.0011","0.9998","14.10M","-0.06%"
"Jun 07, 2020","0.9994","1.0000","1.0007","0.9993","17.39M","-0.07%"
"Jun 08, 2020","0.9996","0.9994","1.0003","0.9992","12.77M","0.02%"
"Jun 09, 2020","0.9994","0.9996","1.0002","0.9990","13.83M","-0.02%"
"Jun 10, 2020","0.9993","0.9994","1.0002","0.9987","16.44M","-0.01%"
"Jun 11, 2020","1.0010","0.9993","1.0025","0.9991","35.05M","0.16%"
"Jun 12, 2020","1.0003","1.0010","1.0016","1.0001","20.41M","-0.07%"
"Jun 13, 2020","0.9998","1.0002","1.0017","0.9998","17.13M","-0.04%"
"Jun 14, 2020","1.0006","0.9998","1.0008","0.9997","14.74M","0.08%"
"Jun 15, 2020","0.9997","1.0006","1.0018","0.9994","29.09M","-0.09%"
"Jun 16, 2020","1.0004","0.9997","1.0009","0.9993","29.17M","0.07%"
"Jun 17, 2020","1.0008","1.0004","1.0016","1.0001","29.93M","0.05%"
"Jun 18, 2020","1.0011","1.0008","1.0015","1.0006","24.36M","0.03%"
"Jun 19, 2020","1.0016","1.0011","1.0019","1.0007","32.02M","0.04%"
"Jun 20, 2020","1.0004","1.0016","1.0018","1.0003","23.30M","-0.12%"
"Jun 21, 2020","1.0014","1.0004","1.0016","1.0002","23.50M","0.10%"
"Jun 22, 2020","0.9999","1.0014","1.0015","0.9996","29.82M","-0.15%"
"Jun 23, 2020","1.0004","0.9999","1.0008","0.9998","19.21M","0.05%"
"Jun 24, 2020","1.0012","1.0004","1.0021","1.0001","32.89M","0.07%"
"Jun 25, 2020","1.0007","1.0012","1.0022","1.0003","29.42M","-0.05%"
"Jun 26, 2020","1.0009","1.0007","1.0023","1.0005","26.41M","0.02%"
"Jun 27, 2020","1.0008","1.0009","1.0017","1.0005","28.75M","0.00%"
"Jun 28, 2020","1.0005","1.0008","1.0013","1.0002","13.72M","-0.03%"
"Jun 29, 2020","1.0004","1.0005","1.0015","0.9999","19.51M","-0.01%"
"Jun 30, 2020","1.0001","1.0004","1.0009","0.9998","16.14M","-0.03%"
"Jul 01, 2020","0.9994","1.0001","1.0005","0.9993","24.28M","-0.06%"
"Jul 02, 2020","0.9998","0.9994","1.0007","0.9993","23.49M","0.03%"
"Jul 03, 2020","1.0000","0.9998","1.0007","0.9996","23.69M","0.02%"
"Jul 04, 2020","0.9997","0.9999","1.0004","0.9995","15.90M","-0.02%"
"Jul 05, 2020","0.9997","0.9997","1.0002","0.9995","16.35M","-0.01%"
